City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
147,Laguna,US,38.421,-121.4238,67.17,42,0,5.75,clear sky
148,Sitka,US,57.0531,-135.33,39.09,87,100,5.75,light rain
149,Tabuk,PH,17.4189,121.4443,72.03,93,100,1.23,overcast clouds
150,Kyshtym,RU,55.714,60.5528,-11.94,100,32,1.3,scattered clouds
151,Russell,US,32.3502,-85.1999,41.13,56,37,18.57,scattered clouds
152,Kaitangata,NZ,-46.2817,169.8464,48.0,95,25,4.92,scattered clouds
153,Vallenar,CL,-28.5708,-70.7581,84.92,26,0,10.38,clear sky
154,Ilulissat,GL,69.2167,-51.1,6.82,66,75,10.36,broken clouds
155,Bambous Virieux,MU,-20.3428,57.7575,80.22,84,70,12.3,light rain
156,Lagoa,PT,39.05,-27.9833,57.06,60,88,12.75,overcast clouds
157,Bud,US,39.447,-86.1758,25.68,51,20,18.14,few clouds
158,Katherine,AU,-14.4667,132.2667,77.32,88,80,0.0,broken clouds
159,Port-Gentil,GA,-0.7193,8.7815,82.62,79,99,9.62,overcast clouds
160,Grenville,GD,12.1167,-61.6167,79.29,77,25,22.53,scattered clouds
161,Novyy Urgal,RU,51.0736,132.5642,3.6,99,96,1.16,overcast clouds
162,Kavieng,PG,-2.5744,150.7967,81.68,70,82,7.96,broken clouds
163,Tezu,IN,27.9167,96.1667,72.41,27,52,4.79,broken clouds
164,Touba,CI,8.2833,-7.6833,91.62,31,78,4.05,light rain
165,Longyearbyen,SJ,78.2186,15.6401,17.44,62,75,2.3,broken clouds
166,Necochea,AR,-38.5473,-58.7368,73.71,39,11,8.12,few clouds
167,Sukhumi,GE,43.0033,41.0153,34.86,92,100,4.72,overcast clouds
168,Saltpond,GH,5.2091,-1.0606,81.93,77,98,12.3,overcast clouds
169,Paamiut,GL,61.994,-49.6678,11.7,90,100,27.58,light snow
170,Narragansett,US,41.4501,-71.4495,48.18,75,100,20.71,moderate rain
171,Kigorobya,UG,1.6162,31.3089,77.07,47,81,4.59,broken clouds
172,San Pedro,PH,14.35,121.0167,79.36,92,98,5.19,overcast clouds
173,Souillac,MU,-20.5167,57.5167,78.78,85,71,11.12,broken clouds
174,Novominskaya,RU,46.3163,38.9586,27.36,67,94,5.73,light snow
175,Poum,NC,-20.2333,164.0167,80.55,78,4,9.44,clear sky
176,Aripuana,BR,-9.1667,-60.6333,85.33,74,90,3.4,overcast clouds
177,Airai,TL,-8.9266,125.4092,60.26,90,94,1.34,overcast clouds
178,Dakar,SN,14.6937,-17.4441,97.68,47,22,13.8,dust
179,Boueni,YT,-12.9025,45.0761,82.38,71,97,3.27,overcast clouds
180,Kahului,US,20.8947,-156.47,76.84,80,20,8.99,few clouds
181,Tuktoyaktuk,CA,69.4541,-133.0374,-8.05,97,100,12.46,overcast clouds
182,College,US,64.8569,-147.8028,1.08,86,3,5.26,clear sky
183,Tura,IN,25.5198,90.2201,69.8,26,40,2.44,scattered clouds
184,Suntar,RU,62.1444,117.6319,-20.85,100,89,1.45,overcast clouds
185,Sorland,NO,67.667,12.6934,41.31,79,7,3.6,clear sky
186,Havre-Saint-Pierre,CA,50.2334,-63.5986,21.56,86,100,21.85,overcast clouds
187,Barabinsk,RU,55.3571,78.357,-2.11,97,18,8.55,few clouds
188,Ornes,NO,66.8689,13.7078,36.18,57,25,9.98,scattered clouds
189,Thiruvananthapuram,IN,8.4833,76.9167,84.18,74,75,3.44,haze
190,Nizhneivkino,RU,58.194,49.5214,8.4,97,93,4.79,overcast clouds
191,Shingu,JP,33.7333,135.9833,53.42,76,52,6.4,broken clouds
192,La Ronge,CA,55.1001,-105.2842,18.27,90,98,8.79,light snow
193,Dire,ML,12.2833,-10.9667,100.74,8,42,7.49,scattered clouds
194,Acarau,BR,-2.8856,-40.12,81.97,70,100,4.97,moderate rain
195,Jieshi,CN,22.8134,115.8257,73.94,82,53,5.01,broken clouds
196,Makakilo City,US,21.3469,-158.0858,75.29,74,75,0.0,broken clouds
197,Coquimbo,CL,-29.9533,-71.3436,66.97,70,24,7.54,few clouds
198,Flin Flon,CA,54.7682,-101.865,11.28,88,100,4.61,light snow
199,Cardston,CA,49.2,-113.3019,37.22,88,99,2.51,overcast clouds
200,Lazaro Cardenas,MX,17.9583,-102.2,81.68,51,0,8.66,clear sky
201,Celestun,MX,20.8667,-90.4,76.08,83,37,26.42,scattered clouds
202,Rancho Palos Verdes,US,33.7445,-118.387,74.05,37,0,3.06,clear sky
203,Erzin,TR,36.9559,36.2,36.99,69,11,1.41,few clouds
204,Kardla,EE,58.9978,22.7492,31.05,81,11,4.94,few clouds
205,Plotnikovo,RU,55.0247,85.9436,1.74,94,9,10.2,clear sky
206,Upernavik,GL,72.7868,-56.1549,-9.22,92,100,12.88,overcast clouds
207,Norman Wells,CA,65.282,-126.8329,-6.61,90,100,13.87,overcast clouds
