City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
205,Srikakulam,IN,18.3,83.9,74.37,71,30,5.57,scattered clouds
206,Port Macquarie,AU,-31.4333,152.9167,60.89,80,85,3.67,overcast clouds
207,Ketchikan,US,55.3422,-131.6461,43.27,81,40,6.91,scattered clouds
208,Adrano,IT,37.6618,14.8348,45.45,94,100,5.3,overcast clouds
209,Kholtoson,RU,50.2981,103.3097,13.46,96,100,1.81,overcast clouds
210,Manggar,ID,-2.8833,108.2667,78.31,85,100,5.97,overcast clouds
211,Puri,IN,19.8,85.85,75.72,75,0,7.02,clear sky
212,Viseu,PT,40.661,-7.9097,47.86,95,100,4.74,overcast clouds
213,The Pas,CA,53.8251,-101.2541,8.62,72,75,4.61,broken clouds
214,Ramanuj Ganj,IN,23.8,83.7,62.82,31,0,4.52,clear sky
215,Huarmey,PE,-10.0681,-78.1522,76.84,73,58,9.1,broken clouds
216,Constitucion,CL,-35.3333,-72.4167,67.39,68,14,6.91,few clouds
217,Itororo,BR,-15.1169,-40.0703,79.45,64,79,3.98,broken clouds
218,Menongue,AO,-14.6585,17.691,63.75,95,97,3.87,light rain
219,Provideniya,RU,64.3833,-173.3,18.19,62,0,10.8,clear sky
220,Kentau,KZ,43.5206,68.5094,50.52,94,100,7.38,overcast clouds
221,Victoria,HK,22.2855,114.1577,73.18,77,15,7.96,few clouds
222,Rudnichnyy,RU,59.617,52.4703,14.63,95,98,6.96,overcast clouds
223,Guerrero Negro,MX,27.9769,-114.0611,73.89,22,0,13.33,clear sky
224,Maues,BR,-3.3836,-57.7186,81.79,86,33,2.77,light rain
225,Hailar,CN,49.2,119.7,-0.17,100,93,1.45,overcast clouds
226,Tilichiki,RU,60.4667,166.1,5.58,95,13,7.85,few clouds
227,Atar,MR,20.5169,-13.0499,75.27,9,0,9.26,clear sky
228,Rocha,UY,-34.4833,-54.3333,64.74,61,1,9.82,clear sky
229,Kasongo-Lunda,CD,-6.4667,16.8167,70.05,99,100,0.29,moderate rain
230,Mahebourg,MU,-20.4081,57.7,79.25,94,40,9.22,scattered clouds
231,Durgapur,IN,23.4833,87.3167,73.51,24,6,3.87,clear sky
232,Marsa Matruh,EG,31.3525,27.2453,52.0,71,40,6.91,scattered clouds
233,Hamilton,US,39.1834,-84.5333,27.99,49,75,23.02,snow
234,Tahta,EG,26.7693,31.5021,53.76,33,0,14.43,clear sky
235,Mar Del Plata,AR,-38.0023,-57.5575,66.22,77,0,11.99,clear sky
236,Salalah,OM,17.0151,54.0924,73.36,55,49,1.54,scattered clouds
237,Pandrup,DK,57.2215,9.6757,37.31,75,40,11.5,scattered clouds
238,Kahului,US,20.8947,-156.47,82.98,58,20,20.71,few clouds
239,Pemangkat,ID,1.1667,108.9667,77.45,81,100,2.33,overcast clouds
240,Amahai,ID,-3.3333,128.9167,78.19,85,99,3.91,overcast clouds
241,Paidha,UG,2.4167,30.9855,69.53,52,100,6.51,overcast clouds
242,Aksarka,RU,66.5606,67.7975,9.82,96,100,7.96,overcast clouds
243,Simplicio Mendes,BR,-7.8539,-41.9103,80.51,60,100,2.77,overcast clouds
244,Ucluelet,CA,48.9329,-125.5528,44.91,92,100,4.0,overcast clouds
245,Oktyabrskiy,RU,54.4815,53.471,-9.04,100,97,1.01,overcast clouds
246,Maningrida,AU,-12.0667,134.2667,77.9,88,84,6.26,broken clouds
247,Moussoro,TD,13.6408,16.4901,80.44,13,67,16.02,broken clouds
248,Ust-Tsilma,RU,65.441,52.1498,15.26,98,97,4.0,overcast clouds
249,Iwaki,JP,37.05,140.8833,46.09,77,100,2.55,moderate rain
250,Cabedelo,BR,-6.9811,-34.8339,84.87,75,92,9.48,overcast clouds
251,San,ML,13.3034,-4.8956,89.58,11,66,12.01,broken clouds
252,Vanavara,RU,60.34,102.2797,-21.53,100,98,1.88,overcast clouds
253,Fort Morgan,US,40.2503,-103.8,56.05,22,0,6.91,clear sky
254,Hokitika,NZ,-42.7167,170.9667,62.37,64,70,4.59,broken clouds
255,Cockburn Town,TC,21.4612,-71.1419,80.56,57,20,20.71,few clouds
256,Stillwater,US,36.1156,-97.0584,53.87,29,0,12.66,clear sky
257,Omsukchan,RU,62.5333,155.8,-8.64,99,97,4.56,overcast clouds
258,Mosquera,CO,4.7059,-74.2302,59.09,82,75,9.22,haze
259,Sola,VU,-13.8833,167.55,81.23,75,95,4.25,overcast clouds
260,Mount Darwin,ZW,-16.7725,31.5838,64.74,86,73,1.01,broken clouds
261,Horadiz,AZ,39.4488,47.3353,38.59,70,82,2.33,broken clouds
262,Komsomolskiy,UZ,40.4272,71.7189,50.72,93,75,2.3,fog
263,Baturaja,ID,-4.1333,104.1667,74.01,99,100,1.63,overcast clouds
264,Hasaki,JP,35.7333,140.8333,46.8,80,99,8.75,overcast clouds
265,Lompoc,US,34.6391,-120.4579,76.69,53,0,18.01,clear sky
266,Chokurdakh,RU,70.6333,147.9167,-27.33,100,96,3.67,overcast clouds
267,Batsfjord,NO,70.6345,29.7185,25.86,85,91,5.01,overcast clouds
268,Shawnee,US,39.05,-95.7669,38.28,46,0,11.5,clear sky
269,Shevchenkove,UA,49.6959,37.1735,17.8,91,100,5.55,overcast clouds
270,Emet,TR,39.343,29.2585,9.73,99,89,2.28,overcast clouds
271,Okhotsk,RU,59.3833,143.3,13.71,93,100,5.12,overcast clouds
272,Jieshi,CN,22.8134,115.8257,73.94,81,32,5.73,scattered clouds
273,Belmonte,BR,-15.8631,-38.8828,79.0,78,1,6.8,clear sky
274,Vila Velha,BR,-20.3297,-40.2925,84.15,79,0,17.27,clear sky
275,Kichera,RU,55.9375,110.0997,1.85,91,99,3.83,overcast clouds
276,Staroaleyskoye,RU,51.0061,82.0,5.67,97,100,1.41,overcast clouds
277,Greenville,US,35.6127,-77.3663,37.56,94,100,14.97,overcast clouds
278,Tornio,FI,65.8481,24.1466,19.42,94,100,5.99,overcast clouds
279,Bud,US,39.447,-86.1758,27.68,46,5,18.45,clear sky
280,Richards Bay,ZA,-28.783,32.0377,74.08,87,1,9.26,clear sky
281,Copiapo,CL,-27.3667,-70.3333,67.69,33,0,8.93,clear sky
282,Adrar,MR,20.5022,-10.0711,71.83,10,0,11.48,clear sky
283,Acapulco,MX,16.8634,-99.8901,80.42,69,0,11.5,clear sky
284,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,47,0,9.22,clear sky
285,Sao Felix Do Xingu,BR,-6.6447,-51.995,79.02,86,47,3.06,scattered clouds
286,Coffs Harbour,AU,-30.3,153.1333,64.36,88,100,5.75,overcast clouds
287,Locri,IT,38.2414,16.2623,46.31,59,100,7.61,overcast clouds
288,Araouane,ML,18.9048,-3.5265,74.68,10,0,10.54,clear sky
289,Junin,AR,-34.5838,-60.9433,73.4,50,0,5.01,clear sky
290,Pangnirtung,CA,66.1451,-65.7125,-22.0,76,0,0.0,clear sky
291,Goldsboro,US,35.3849,-77.9928,42.89,67,75,17.27,broken clouds
292,Worthington,US,40.0931,-83.018,23.94,66,100,26.46,overcast clouds
293,Palmer,US,42.1584,-72.3287,32.95,76,100,19.57,snow
294,Acevedo,CO,1.8361,-75.855,74.01,70,99,2.68,overcast clouds
295,Olinda,BR,-8.0089,-34.8553,83.93,74,40,9.22,scattered clouds
296,Faya,SA,18.3851,42.4509,59.11,62,8,3.89,clear sky
297,Riyadh,SA,24.6877,46.7219,66.34,33,0,10.29,clear sky
298,Khorinsk,RU,52.1657,109.7726,0.36,97,98,2.75,overcast clouds
299,Kavaratti,IN,10.5669,72.642,82.02,76,1,10.33,clear sky
300,Moron,AR,-34.6534,-58.6198,76.8,52,0,5.95,clear sky
301,Saldanha,ZA,-33.0117,17.9442,68.05,90,0,5.19,clear sky
302,Lhokseumawe,ID,5.1801,97.1507,77.32,85,52,3.24,broken clouds
303,Caravelas,BR,-17.7125,-39.2481,78.82,79,2,5.79,clear sky
304,Hay River,CA,60.8156,-115.7999,-0.42,65,75,11.5,broken clouds
305,Xuzhou,CN,34.1805,117.1571,54.59,96,9,4.03,clear sky
306,Port Hardy,CA,50.6996,-127.4199,44.78,76,100,23.02,overcast clouds
307,Amga,RU,60.8953,131.9608,-15.79,100,100,1.1,overcast clouds
308,Utete,TZ,-7.986,38.758,73.13,94,100,2.51,overcast clouds
309,Prince Rupert,CA,54.3161,-130.3201,44.69,70,20,4.61,few clouds
310,Batticaloa,LK,7.7102,81.6924,79.5,81,96,8.59,overcast clouds
311,Olafsvik,IS,64.8945,-23.7142,37.15,64,61,17.76,broken clouds
312,Manitouwadge,CA,49.1215,-85.8403,10.94,74,100,8.16,overcast clouds
313,Savannah Bight,HN,16.45,-85.85,79.92,72,4,6.55,clear sky
314,Katsuura,JP,35.1333,140.3,54.88,80,95,10.04,overcast clouds
315,Raga,SS,8.4596,25.678,81.36,17,100,4.12,overcast clouds
316,Tucumcari,US,35.1717,-103.725,58.95,26,0,4.61,clear sky
317,Nouadhibou,MR,20.931,-17.0347,67.98,73,0,18.41,clear sky
318,Poum,NC,-20.2333,164.0167,80.92,77,8,6.38,clear sky
319,Celina,US,40.5489,-84.5702,23.14,62,100,21.99,overcast clouds
320,Hami,CN,42.8,93.45,49.39,44,100,7.74,overcast clouds
321,Khatanga,RU,71.9667,102.5,-25.1,100,100,6.58,overcast clouds
322,Grand Gaube,MU,-20.0064,57.6608,79.38,86,65,3.0,broken clouds
323,San Vicente,AR,-26.6167,-54.1333,71.4,69,100,3.69,overcast clouds
324,Broken Hill,AU,-31.95,141.4333,65.91,37,4,8.05,clear sky
325,Bilma,NE,18.6853,12.9164,70.57,12,2,10.02,clear sky
326,Durango,MX,24.8333,-104.8333,61.11,18,0,8.28,clear sky
327,Hof,DE,50.3167,11.9167,36.63,30,0,9.22,clear sky
328,Barkly West,ZA,-28.5354,24.5215,67.28,68,96,10.94,overcast clouds
329,Qaqortoq,GL,60.7167,-46.0333,11.3,61,100,31.23,overcast clouds
330,Qandala,SO,11.472,49.8728,77.97,62,53,7.2,broken clouds
331,Thompson,CA,55.7435,-97.8558,12.36,44,75,4.61,broken clouds
332,Verkhoyansk,RU,67.5447,133.385,-18.2,100,100,1.59,overcast clouds
333,Aswan,EG,24.0934,32.907,60.1,26,0,8.05,clear sky
334,Eureka,US,40.8021,-124.1637,68.74,31,56,7.0,broken clouds
335,Trussville,US,33.6198,-86.6089,39.04,42,0,14.97,clear sky
336,Bedesa,ET,8.9,40.7833,66.31,50,98,2.33,overcast clouds
337,Saint-Augustin,CA,51.226,-58.6502,21.88,96,100,21.7,snow
338,Poli,TZ,-3.3333,36.8,64.2,57,98,2.62,overcast clouds
339,Madison Heights,US,42.4859,-83.1052,23.27,51,100,18.41,overcast clouds
340,Sume,BR,-7.6717,-36.88,85.19,34,100,10.47,light rain
341,Pacific Grove,US,36.6177,-121.9166,68.23,73,0,5.99,clear sky
342,Ust-Kuyga,RU,70.0167,135.6,-18.13,100,100,4.61,overcast clouds
343,Bridlington,GB,54.0831,-0.1919,49.93,81,99,21.65,overcast clouds
344,Kalashnikovo,RU,57.2824,35.2262,26.33,95,85,2.59,overcast clouds
345,Arlit,NE,18.7369,7.3853,74.32,11,0,13.31,clear sky
346,Talwandi Bhai,IN,30.85,74.9333,61.75,57,5,1.77,clear sky
347,Bilibino,RU,68.0546,166.4372,-5.57,82,84,4.59,broken clouds
